0;10;28;24;18;9;23;32;27;25;29;26;
1;10;13;5;34;12;1;3;30;6;31;2;
2;10;29;25;27;15;11;18;16;32;33;17;
3;10;13;5;2;26;3;24;30;12;31;23;
4;10;25;18;15;14;11;17;33;16;1;6;
5;10;31;2;26;28;27;30;34;19;12;32;
6;10;14;1;23;33;24;5;3;25;13;17;
7;10;11;26;6;28;18;2;31;12;32;29;
8;10;1;27;13;3;17;19;24;15;14;16;
9;10;6;25;30;18;34;28;23;32;12;31;
10;10;29;19;33;11;1;14;13;3;26;2;
11;10;24;16;25;31;23;34;27;17;30;12;
12;10;26;2;28;13;19;32;33;1;6;18;
13;10;15;5;3;12;30;34;25;27;11;14;
14;10;17;29;31;32;33;18;13;6;1;26;
15;10;28;34;3;19;27;30;25;14;24;5;
16;10;33;6;11;16;17;12;32;1;31;29;
17;10;2;30;26;14;13;28;15;27;5;24;
18;10;3;6;1;11;12;25;31;23;16;29;
19;10;15;17;26;30;27;24;18;5;19;33;
20;10;2;32;3;14;13;31;11;6;29;1;
21;10;15;23;24;12;28;19;30;25;27;34;
22;10;11;16;5;29;3;32;13;26;14;2;
23;10;34;23;31;25;24;30;15;28;18;27;
24;10;33;13;6;5;2;19;3;16;1;26;
25;10;27;12;34;29;28;31;32;30;14;17;
26;10;26;1;13;16;11;23;2;25;18;24;
27;10;33;19;3;27;6;15;28;30;14;5;
28;10;26;12;1;29;23;34;18;2;24;31;
29;10;13;16;3;25;33;17;14;6;15;32;
30;10;34;11;2;27;30;5;31;29;26;19;
31;10;28;13;1;33;15;17;16;25;12;23;
32;10;14;18;19;6;11;30;24;27;34;3;
33;10;1;12;16;28;17;25;5;13;31;33;
34;10;27;18;14;26;19;2;32;24;34;3;
35;10;33;5;13;12;6;17;11;25;29;30;
36;10;27;18;31;15;32;1;14;2;23;34;
37;10;11;5;29;30;24;28;12;13;25;3;
38;10;16;32;6;27;14;17;18;19;34;23;
39;10;1;3;12;28;5;31;25;11;13;26;
40;10;32;29;33;19;30;23;18;2;27;14;
41;10;34;5;26;17;13;24;6;12;25;15;
42;10;28;32;3;19;14;18;11;2;16;1;
43;10;29;13;34;12;17;30;5;25;6;15;
44;10;33;32;31;19;11;14;1;24;2;26;
45;10;17;34;28;3;5;15;16;13;23;12;
46;10;33;11;18;1;27;2;19;32;29;24;
47;10;30;16;28;17;6;5;31;23;13;14;
48;10;26;33;34;19;11;32;27;24;3;2;
49;10;6;16;30;15;5;25;23;13;18;1;
50;10;32;17;26;33;14;27;11;34;19;24;
51;10;2;15;6;30;1;18;28;3;31;5;
52;10;17;29;12;24;14;33;26;19;23;25;
