0;20;207;163;9;161;91;7;65;111;189;211;57;209;181;83;193;191;85;199;145;155;
1;20;89;49;153;183;135;147;125;23;79;11;107;201;39;3;5;99;137;63;171;205;
2;20;81;87;199;155;13;113;121;133;145;195;41;187;139;57;55;213;177;43;215;165;
3;20;173;63;95;147;159;211;109;31;9;15;151;209;169;37;197;19;33;157;93;47;
4;20;85;207;107;77;163;67;193;171;203;137;51;3;115;125;155;53;183;117;1;43;
5;20;59;177;21;109;35;133;63;91;99;147;121;7;61;153;57;169;83;191;209;23;
6;20;53;165;1;199;179;157;5;87;41;173;119;205;33;17;31;159;151;143;115;215;
7;20;183;91;71;111;121;29;63;57;13;39;117;27;197;155;81;123;67;171;21;55;
8;20;205;115;65;201;7;33;163;215;107;51;15;47;173;25;49;11;187;99;105;119;
9;20;79;69;151;61;147;167;87;135;195;53;179;171;113;121;157;43;83;177;145;125;
10;20;97;47;205;109;21;163;159;95;77;189;11;63;85;35;149;57;161;9;207;165;
11;20;45;185;81;13;181;187;123;53;17;87;137;39;183;89;37;29;211;41;23;119;
12;20;7;43;155;49;161;195;109;107;15;141;157;111;95;59;167;79;133;47;21;199;
13;20;27;211;185;153;53;17;45;125;9;145;165;89;123;147;97;175;151;41;105;57;
14;20;49;197;93;115;183;77;215;179;173;109;59;15;155;25;121;11;187;213;119;85;
15;20;5;147;51;29;111;7;175;151;127;9;135;113;157;105;145;71;23;161;189;31;
16;20;61;119;207;177;27;117;95;201;89;79;19;215;25;159;59;33;21;13;187;211;
17;20;167;163;5;195;65;81;137;181;121;183;43;97;133;143;135;105;57;31;197;9;
18;20;49;79;209;145;13;47;83;185;11;153;107;69;59;71;117;7;141;165;21;113;
19;20;41;43;125;203;179;213;195;45;133;53;205;155;151;39;139;25;87;189;9;33;
20;20;83;7;107;141;145;127;135;3;5;21;143;105;85;169;185;153;113;19;29;209;
21;20;17;39;193;157;69;199;147;1;79;47;207;213;119;71;117;215;41;189;87;49;
22;20;35;149;93;57;45;133;203;169;37;179;15;145;11;209;53;95;107;141;23;111;
23;20;171;195;125;187;39;193;63;7;105;121;123;89;201;21;135;71;191;215;165;143;
24;20;79;111;157;15;19;31;181;107;81;77;141;139;115;133;209;179;11;5;29;27;
25;20;121;113;85;197;125;175;161;185;37;57;145;7;201;211;173;119;69;135;99;207;
26;20;45;33;77;63;3;193;15;117;133;67;97;203;79;105;47;25;17;21;61;191;
27;20;159;141;211;81;199;165;155;173;119;13;185;201;69;99;123;151;147;9;157;177;
28;20;95;183;77;33;35;47;125;193;145;41;113;5;29;7;139;85;167;71;205;3;
29;20;209;135;187;149;201;155;157;191;1;177;133;211;143;83;195;15;81;175;203;171;
30;20;147;137;61;107;29;139;79;91;197;159;97;115;173;113;49;7;99;23;161;57;
31;20;105;145;3;89;47;27;83;13;9;37;33;59;191;111;17;81;203;117;121;167;
32;20;57;139;159;181;67;63;107;125;123;39;165;29;7;55;11;79;109;51;197;91;
33;20;199;5;183;185;215;207;175;93;37;117;33;49;205;43;191;45;119;77;25;171;
34;20;105;159;47;113;29;59;91;21;177;55;209;143;89;157;17;189;87;201;99;7;
35;20;13;85;27;111;69;35;37;205;97;81;155;53;145;125;93;11;95;63;31;213;
36;20;169;7;29;153;211;79;55;189;47;67;193;1;3;89;165;141;99;135;147;65;
37;20;149;77;119;5;197;69;105;195;9;57;93;81;155;185;91;51;167;53;125;175;
38;20;171;11;193;55;33;89;67;215;169;111;145;15;99;157;151;29;213;43;137;115;
39;20;179;85;61;5;199;37;201;95;191;105;123;9;147;189;17;165;81;51;69;181;
40;20;55;197;67;135;163;83;125;171;121;213;7;177;35;63;145;211;97;45;39;49;
41;20;193;113;141;133;51;69;151;127;9;185;29;1;87;79;89;115;53;111;31;155;
42;20;57;59;37;15;21;167;39;17;159;147;137;191;61;7;179;97;143;65;35;109;
43;20;9;19;13;3;53;91;211;87;123;187;181;99;183;169;23;133;41;67;107;113;
44;20;83;97;197;135;77;79;95;29;171;163;69;157;45;199;119;71;59;31;63;105;
45;20;205;149;1;159;161;175;3;47;147;169;37;39;91;121;137;13;33;185;125;173;
46;20;31;59;7;141;61;181;191;51;95;171;43;11;67;201;81;197;187;53;45;213;
47;20;77;115;167;155;109;207;57;119;185;179;125;105;47;165;9;91;79;147;71;89;
48;20;159;43;111;215;93;19;107;67;171;69;121;135;203;17;193;183;197;49;181;143;
49;20;41;37;169;91;105;97;27;45;119;13;99;173;61;213;31;189;205;115;201;207;
50;20;109;93;183;47;83;163;3;211;35;133;111;107;69;209;171;25;5;153;203;161;
51;20;119;9;41;17;67;57;21;191;155;7;177;23;51;19;97;127;123;77;193;207;
52;20;47;3;37;149;167;181;107;5;183;173;65;109;185;99;151;121;83;93;15;89;
