0;10;9;23;24;25;26;27;28;29;32;18;
1;10;19;5;2;30;11;3;6;13;1;16;12;24;23;32;27;34;17;25;31;14;
2;10;18;30;28;3;11;26;16;29;33;2;31;24;13;1;17;25;6;34;12;5;
3;10;23;11;14;3;16;33;26;28;29;19;2;18;13;1;6;12;31;24;27;17;
4;10;29;33;15;28;11;25;23;3;32;19;12;18;26;17;16;30;5;14;13;6;
5;10;19;31;2;33;3;11;32;27;15;23;12;30;18;34;17;29;6;13;28;14;
6;10;2;5;19;1;24;31;15;25;26;11;32;23;29;13;3;14;17;34;30;18;
7;10;11;6;27;16;2;12;33;25;31;15;34;3;17;29;24;14;5;30;13;26;
8;10;18;31;6;25;12;28;2;11;32;16;14;17;3;5;23;33;13;15;30;29;
9;10;1;12;26;24;2;18;27;31;11;16;5;17;14;6;15;23;33;29;13;3;
10;10;26;11;18;19;24;31;30;16;34;27;29;6;12;13;23;33;14;17;5;2;
11;10;19;30;26;1;15;28;3;32;16;31;11;12;2;17;24;33;27;34;23;14;
12;10;18;31;6;25;5;26;29;15;32;13;19;3;12;23;17;2;27;14;16;11;
13;10;32;30;13;18;5;25;28;15;6;26;14;23;16;33;12;2;31;24;19;3;
14;10;30;11;32;18;6;1;13;15;29;25;24;16;34;26;5;23;27;14;3;17;
15;10;31;2;12;15;1;33;13;6;32;30;5;26;34;28;14;24;29;19;3;11;
16;10;31;6;18;30;15;1;2;16;33;32;34;27;13;5;3;24;25;23;19;26;
17;10;29;14;32;6;17;12;33;18;16;15;5;23;27;30;11;19;2;31;13;34;
18;10;14;26;33;24;29;12;18;1;15;28;11;5;16;17;13;27;34;6;19;23;
19;10;31;30;24;3;14;2;18;33;26;15;34;17;28;32;11;16;12;6;29;13;
20;10;3;18;31;25;1;33;15;5;2;27;6;13;14;24;28;30;23;11;32;12;
21;10;2;19;15;26;29;16;25;17;3;5;1;12;28;24;34;6;30;11;14;23;
22;10;13;27;29;5;33;32;3;2;17;18;12;15;14;11;19;23;6;26;16;1;
23;10;32;2;29;28;5;13;31;24;25;30;19;15;3;17;34;11;23;33;27;26;
24;10;14;13;2;6;25;24;28;1;16;18;17;12;23;31;11;33;19;26;34;5;
25;10;28;24;2;3;29;13;18;27;15;16;34;1;26;6;33;23;25;19;32;30;
26;10;15;3;5;14;27;31;18;17;2;29;1;26;34;30;33;12;28;16;23;6;
27;10;17;11;5;3;31;19;13;14;2;25;24;29;32;27;1;34;30;23;28;16;
28;10;14;19;13;3;6;25;15;18;5;33;29;26;30;16;1;34;24;12;2;32;
29;10;17;19;31;6;5;27;18;13;33;25;3;1;30;14;23;16;11;32;2;15;
30;10;26;5;17;25;27;13;24;19;31;6;3;30;34;33;16;2;12;15;1;28;
31;10;17;11;27;23;13;25;14;24;5;19;34;18;15;28;3;26;31;6;12;1;
32;10;17;32;30;33;19;24;27;2;29;23;11;31;34;18;14;13;28;6;15;1;
33;10;17;29;25;2;30;26;33;23;3;27;19;14;28;31;13;34;1;16;24;11;
34;10;29;15;2;12;6;26;5;27;33;17;13;19;25;24;18;30;16;11;3;31;
35;10;34;17;26;1;6;15;29;32;14;33;18;30;2;28;16;27;23;31;5;19;
36;10;26;32;29;24;11;13;15;3;17;14;1;27;31;25;16;5;28;30;34;19;
37;10;3;29;14;26;17;24;13;6;15;18;16;30;2;23;34;5;12;27;11;33;
38;10;15;31;13;28;29;1;26;25;14;19;24;12;23;2;6;18;3;5;11;16;
39;10;30;27;15;13;33;14;32;19;25;28;11;6;17;3;18;26;1;34;12;5;
40;10;19;24;29;13;27;33;16;32;25;14;6;1;34;15;31;28;30;3;11;23;
41;10;32;27;29;18;14;2;12;19;13;33;23;1;5;6;15;31;3;17;11;25;
42;10;16;34;33;2;13;27;12;30;14;28;5;32;26;31;23;25;19;17;24;29;
43;10;13;34;16;33;30;11;18;2;15;3;29;26;5;23;27;31;6;25;1;32;
44;10;13;33;15;14;28;19;18;12;17;2;32;30;27;31;34;24;26;29;6;5;
45;10;19;16;12;28;1;14;17;11;33;23;25;34;18;26;2;6;27;3;24;29;
46;10;15;5;23;33;14;12;30;17;1;11;31;6;24;18;27;28;16;34;29;19;
47;10;5;15;25;3;17;33;30;1;2;11;28;27;24;13;12;16;18;31;23;34;
48;10;15;11;2;19;6;14;5;32;1;17;18;33;16;23;3;24;13;27;31;12;
49;10;29;32;28;19;34;11;5;26;30;17;12;33;2;1;14;24;18;3;23;16;
50;10;32;5;13;31;30;26;29;19;11;15;27;14;12;2;17;16;24;28;34;33;
51;10;30;18;11;3;19;1;23;6;26;5;24;12;15;31;13;27;28;29;14;25;
52;10;3;18;33;6;16;34;2;11;26;23;14;31;32;29;28;24;12;5;25;30;
